placement,name,points, ,date,season
1,Geoff Aitken,"6,567", ,Sat Feb 20 10:08:40 2021,1
2,Johan Blake Jr,"5,285", ,Sat Feb 20 10:08:40 2021,1
3,Bse90,"4,690", ,Sat Feb 20 10:08:40 2021,1
4,Kai svendsen,"4,563", ,Sat Feb 20 10:08:40 2021,1
5,Patrick Zaglauer,"4,310", ,Sat Feb 20 10:08:40 2021,1
6,Thanasis Lamprinos,"4,115", ,Sat Feb 20 10:08:40 2021,1
7,Perry Ben,"4,110", ,Sat Feb 20 10:08:40 2021,1
8,Erik salve Salvesen,"3,830", ,Sat Feb 20 10:08:40 2021,1
9,Sigg Luggurd,"3,720", ,Sat Feb 20 10:08:40 2021,1
10,Scott Andrew Rogers,"3,625", ,Sat Feb 20 10:08:40 2021,1
11,Hildy12,"3,615", ,Sat Feb 20 10:08:40 2021,1
12,Ivica Kiwi,"3,606", ,Sat Feb 20 10:08:40 2021,1
13,Vladimir Kovacevic,"3,240", ,Sat Feb 20 10:08:40 2021,1
14,Tommy Ryan,"3,216", ,Sat Feb 20 10:08:40 2021,1
15,BunnyNorway,"3,190", ,Sat Feb 20 10:08:40 2021,1
16,Jesse McDermott,"3,165", ,Sat Feb 20 10:08:40 2021,1
17,Frankie Wilde,"3,025", ,Sat Feb 20 10:08:40 2021,1
18,Alexboy,"2,825", ,Sat Feb 20 10:08:40 2021,1
19,Fabiano Angelo,"2,815", ,Sat Feb 20 10:08:40 2021,1
20,Gareth mckevitt,"2,795", ,Sat Feb 20 10:08:40 2021,1
21,DarkWin44,"2,720", ,Sat Feb 20 10:08:40 2021,1
22,Anneli Madaj,"2,705", ,Sat Feb 20 10:08:40 2021,1
23,Fernando Nits,"2,700", ,Sat Feb 20 10:08:40 2021,1
24,Raymond Haukas,"2,663", ,Sat Feb 20 10:08:40 2021,1
25,lleveller,"2,632", ,Sat Feb 20 10:08:40 2021,1
26,Arne Hong,"2,601", ,Sat Feb 20 10:08:40 2021,1
27,Martin Stensen,"2,495", ,Sat Feb 20 10:08:40 2021,1
28,Yoni Navon,"2,485", ,Sat Feb 20 10:08:40 2021,1
